artist,career_span_years,avg_chart_rank,total_weeks_on_chart,grammy_wins,grammy_nominations,avg_danceability,avg_energy
Belly Featuring The Weeknd,0,81.82,152,0,0,,
The Detergents,1,52.45,40,0,0,,
Ivo Robic,0,77.83,20,0,0,,
Connie Stevens,5,51.53,440,0,0,,
Veronica (Featuring Craig Mack),0,81.69,90,0,0,,
Kodak Black,5,46.41,1408,0,0,0.757,0.587
The Blue-Belles,0,37.73,65,0,0,,
A Boogie wit da Hoodie Featuring 6ix9ine,0,48.0,209,0,0,,
Yo Gotti Featuring Lil Wayne,0,86.86,27,0,0,,
Barbara Mason,10,58.72,359,0,0,0.565,0.329
New Riders Of The Purple Sage,0,87.8,14,0,0,,
The Raes,1,77.89,44,0,0,,
Easterhouse,0,87.75,9,0,0,,
Stromae & Pomme,0,82.0,2,0,0,,
Timbaland Featuring Drake,0,44.6,209,0,0,,
Ciara Featuring Justin Timberlake,0,44.0,77,0,0,,
Models,0,57.15,90,0,0,,
Tucker Wetmore,1,73.56,1134,0,0,0.628,0.673
Earl-Jean,0,60.75,35,0,0,,
Jermaine Jackson & Pia Zadora,0,75.55,65,0,0,,
Keith Murray Featuring Def Squad,0,99.0,1,0,0,,
Justine Washington,0,95.33,5,0,0,,
Sami Jo,0,60.59,194,0,0,,
Twista Featuring Erika Shevon,0,61.0,135,0,0,,
Ariana Grande Featuring The Weeknd,0,65.0,2,0,0,,
CHRYSTAL,0,92.83,14,0,0,,
Jacob Sartorius,0,81.0,1,0,0,,
KCamp Featuring 2 Chainz,0,73.45,209,0,0,,
Lisa Keith,1,65.0,214,0,0,,
Jagged Edge With Nelly,0,18.52,434,0,0,,
Peso Pluma| Junior H & Oscar Maydon,0,87.5,2,0,0,,
Edward Bear,3,45.06,256,0,0,,
I.A.P. Co. (the Italian Asphalt & Pavement Company),0,98.0,2,0,0,,
Lil Tecca,6,50.29,899,0,0,0.864,0.343
Shaquille O'Neal| Ice Cube| B Real| Peter Gunz & KRS-One,0,90.14,27,0,0,,
Sonny Knight,1,84.2,40,0,0,,
Count Basie & His Orchestra,4,97.0,2,0,0,,
The Cupids,0,68.67,20,0,0,,
Delaney & Bonnie & Friends,1,49.04,163,0,0,,
Mocedades,0,35.47,152,0,0,,
Alisan Porter,0,100.0,1,0,0,,
Kendrick Lamar Featuring Hitta J3| YoungThreat & Peysoh,0,62.33,5,0,0,,
Aretha Franklin/Whitney Houston,0,56.5,35,0,0,,
Young Jeezy,1,67.96,167,0,0,,
Esther & Abi Ofarim,0,78.17,20,0,0,,
Crispian St. Peters,1,48.16,124,0,0,,
Twista Featuring Trey Songz,1,40.25,209,0,0,,
Wall Of Voodoo,0,73.56,44,0,0,,
Fabolous Featuring Young Jeezy,0,83.0,1,0,0,,
Timbaland Featuring The Fray & Esthero,0,100.0,1,0,0,,
RealestK,0,78.75,9,0,0,,
BigXthaPlug Featuring Jelly Roll,0,61.0,1,0,0,,
Nastyboy Klick,0,61.67,44,0,0,,
Lara Fabian,0,62.76,152,0,0,,
Ricegum Featuring Alissa Violet,0,80.0,1,0,0,,
Rusty Wier,0,87.75,9,0,0,,
Ludacris Featuring Mystikal & Infamous 2.0,0,36.48,275,0,0,,
Van Zant,0,79.45,65,0,0,,
Baby Bash Featuring T-Pain,1,25.07,464,0,0,,
Kanye West Featuring Theophilus London| Allan Kingdom & Paul McCartney,0,60.87,119,0,0,,
Ben Folds,0,81.67,2,0,0,,
Buck Owens and The Buckaroos,4,79.94,60,0,0,,
DeJohn Sisters,0,74.5,2,0,0,,
DJ Snake| J. Balvin & Tyga,1,95.5,1,0,0,,
Ronnie and The Hi-Lites,0,39.25,77,0,0,,
Khia Featuring DSD,0,72.67,170,0,0,,
Justin Moore & Priscilla Block,0,67.56,135,0,0,,
Major Lazer Featuring Bruno Mars| Tyga & Mystic,0,77.11,44,0,0,,
T.I. Featuring Mary J. Blige,0,61.5,2,0,0,,
Musiq Soulchild Featuring Mary J. Blige,1,82.75,71,0,0,,
6ix9ine,5,49.57,322,0,0,,
Johnny Mathis/Deniece Williams,0,29.28,170,0,0,,
Popp Hunna,1,86.83,20,0,0,,
Nas Featuring Fivio Foreign & A$AP Ferg,0,96.0,1,0,0,,
Bobby Vee and The Shadows,0,85.75,9,0,0,,
Red Eye,0,89.83,20,0,0,,
Puddle of Mudd,7,55.37,1703,0,0,,
Goody Goody,0,90.4,14,0,0,0.607,0.573
Anais,0,92.0,5,0,0,,
Tony Orlando,18,56.72,137,0,0,,
Naughty Boy Featuring Beyonce & Arrow Benjamin,0,90.0,1,0,0,,
Peter Cetera Featuring Az Yet,0,87.1,54,0,0,,
Kirk Franklin Featuring Mary J. Blige| Bono| R. Kelly| Crystal Lewis & The Family,0,87.6,14,0,0,,
Quicksilver Messenger Service,2,74.64,51,0,0,,
Bobby Bloom,1,61.7,173,0,0,,
Mulberry Lane,0,99.0,5,0,0,,
Ryan Hurd With Maren Morris,1,53.7,423,0,0,,
Michael Ray,7,72.14,490,0,0,,
Brook Benton With The Dixie Flyers,1,68.69,47,0,0,,
Rockie Robbins,0,86.25,9,0,0,,
Lonnie Gordon,2,90.13,22,0,0,,
Sudden Change,0,73.88,152,0,0,,
Ja Rule Featuring Christina Milian,1,31.15,209,0,0,,
R. Kelly & Jay-Z,2,76.0,79,0,0,,
Joan Jett,0,58.4,54,0,0,,
Q,0,44.08,90,0,0,,
Whistle,1,64.04,209,0,0,,
The 5 Chanels,0,98.0,1,0,0,,
Blaze,0,96.0,2,0,0,,
Machine Gun Kelly| X Ambassadors & Bebe Rexha,1,94.0,9,0,0,,
OMI,0,20.6,629,0,0,,
Josh Gracin,4,70.0,489,0,0,,
Group Home,0,91.8,14,0,0,,
Calvin Harris X The Weeknd,0,73.6,14,0,0,,
Enrique Iglesias Featuring Marco Antonio Solis,0,85.0,1,0,0,,
The Amboy Dukes,0,37.5,77,0,0,,
Frankie Ballard,2,72.69,537,0,0,,
R. Kelly Duet With Usher,0,50.5,209,0,0,,
The Champs' Boys Orchestra,0,99.0,2,0,0,,
Bobby Cole,0,82.0,5,0,0,,
Kristine W,0,86.07,119,0,0,,
Lil Nas X Featuring Miley Cyrus,0,97.0,1,0,0,,
Nastyboy Klick Featuring Roger Troutman,0,81.24,152,0,0,,
The Monitors,0,100.0,1,0,0,,
Gabito Ballesteros| Peso Pluma & Natanael Cano,0,64.9,209,0,0,,
Corbin Bleu & Lucas Grabeel,0,72.0,2,0,0,,
Jo Ann & Troy,1,76.5,20,0,0,,
Vertical Horizon,1,36.79,1225,0,0,,
Zebra,0,74.88,35,0,0,,
YoungBoy Never Broke Again Featuring Nicki Minaj,0,99.0,1,0,0,,
Carin Leon,0,98.0,2,0,0,,
Zach Bryan Featuring Kings of Leon,0,81.0,1,0,0,,
Pat Travers,0,71.71,27,0,0,,
Percy Faith And His Orchestra,0,31.94,284,0,0,,
The Strangeloves,1,44.48,124,0,0,,
T.I. Featuring Young Thug,0,61.55,209,0,0,,
Teairra Mari,0,62.83,170,0,0,,
Terry Bradshaw,0,94.6,14,0,0,,
Jo Jo Gunne,0,47.55,65,0,0,,
Kendrick Lamar Featuring MC Eiht,2,89.0,1,0,0,,
Joyce Cobb,1,64.33,77,0,0,,
Jimmy Jones,2,36.66,308,0,0,,
Luther Vandross with Gregory Hines,0,73.0,104,0,0,,
Vaughan Mason And Crew,0,85.0,5,0,0,,
Jim and Monica,0,96.5,2,0,0,,
Polo G Featuring Lil Baby,1,72.0,2,0,0,,
Timbaland Featuring Nelly Furtado & SoShy,0,68.5,2,0,0,,
Rick Derringer,1,66.48,127,0,0,,
Roddy Ricch Featuring Meek Mill,1,86.25,6,0,0,,
Jimin & Loco,0,88.0,1,0,0,,
Lemon Pipers,0,58.6,14,0,0,,
Baby Bash Featuring Sean Kingston,0,77.0,75,0,0,,
Yfn Lucci Featuring Migos & Trouble,1,80.82,54,0,0,,
All Star Tribute,0,59.3,54,0,0,,
The Happenings,3,42.46,349,0,0,,
12 Gauge,0,51.38,230,0,0,,
Selena Gomez Featuring Gucci Mane,0,60.92,77,0,0,,
Lumidee,0,21.7,209,0,0,,
Clean Living,1,59.25,77,0,0,,
J'Son,2,81.54,302,0,0,,
Chedda Da Connect,0,97.5,2,0,0,,
Lloyd Price and His Orchestra,1,47.39,563,0,0,0.569,0.756
Eric Benet Featuring Faith Evans,0,71.64,104,0,0,,
Jon Bellion,1,34.82,252,0,0,,
Boys Like Girls,2,51.55,775,0,0,,
Billy Burnette,0,77.4,14,0,0,,
The Crests,2,43.61,718,0,0,0.375,0.636
Big Time Rush,2,88.21,62,0,0,,
Karol G & Quevedo,0,86.0,1,0,0,,
Gary Barlow,1,57.75,209,0,0,,
Leon Redbone,0,83.83,20,0,0,,
Pitbull Featuring John Ryan,0,55.85,209,0,0,,
Meli'sa Morgan,0,63.93,104,0,0,,
Fivio Foreign| Kanye West & Alicia Keys,0,80.3,47,0,0,,
Linda Clifford,2,73.56,185,0,0,,
Drew Baldridge,0,95.67,5,0,0,,
Jean & The Darlings,0,96.0,1,0,0,,
Trick Daddy Featuring Ludacris| Lil' Kim & Cee-Lo,0,38.62,350,0,0,,
Lin-Manuel Miranda Featuring Artists For Puerto Rico,0,20.0,1,0,0,,
The Teddy Bears,1,32.15,277,0,0,,
Johnny O,0,91.8,14,0,0,,
Bad Bunny & Rosalia,1,72.82,145,0,0,,
Juicy J Featuring Big Sean & Young Jeezy,0,90.5,35,0,0,,
Claudine Longet,2,87.93,48,0,0,,
Choppa Featuring Master P,0,96.5,15,0,0,,
Matthew Sweet,0,74.5,209,0,0,,
Flo Milli,1,36.67,230,0,0,,
Big Sean & Metro Boomin Featuring 21 Savage,0,87.0,1,0,0,,
The Marvelettes,8,51.57,1336,0,0,,
A'me Lorain,0,50.69,229,0,0,,
DJ Snake Featuring Justin Bieber,1,14.61,560,0,0,,
Shades,1,77.33,179,0,0,,
O.A.R.,1,50.71,299,0,0,,
The Essex,0,19.62,90,0,0,,
Fifth Harmony Featuring Gucci Mane,0,80.1,38,0,0,,
Doechii Featuring Kodak Black,0,53.83,434,0,0,,
Paul Davis,12,49.4,2045,0,0,0.311,0.658
Gloria Walker,0,70.71,27,0,0,,
James Carr,2,83.33,108,0,0,,
Linkin Park Featuring Kiiara,0,64.0,171,0,0,,
Nicki Minaj With Drake & Lil Wayne,0,74.14,27,0,0,,
Shep And The Limelites,2,56.68,207,0,0,,
LANco,1,59.6,213,0,0,,
$uicideboy$,1,86.0,5,0,0,,
Addison Agen,0,67.0,1,0,0,,
Wiz Khalifa Featuring Akon,0,87.0,1,0,0,,
David Guetta Featuring Jennifer Hudson,0,81.0,1,0,0,,
Thompson Twins,6,46.26,1148,0,0,,
Tamiko Jones,0,71.3,54,0,0,,
Bryan Adams/Rod Stewart/Sting,1,13.14,252,0,0,,
Annie Lennox & Al Green,1,40.06,152,0,0,,
Zac Brown Band Featuring Alan Jackson,1,53.75,209,0,0,,
The Monarchs,0,60.85,90,0,0,,
Adrian Kimberly,0,51.0,14,0,0,,
The Crystal Mansion,1,91.4,14,0,0,,
Johnnie Ray,1,84.78,25,0,0,,
Ingrid Michaelson,7,76.29,407,0,0,,
Daft Punk Featuring Pharrell Williams,0,13.38,434,0,0,,
Julian Cope,0,91.25,9,0,0,,
Howard Hewett,4,80.9,32,0,0,,
Smokey Robinson & Barbara Mitchell,0,65.92,77,0,0,,
Queen Pen Featuring Teddy Riley| Nutta Butta| Markell & Jesse Wes,0,85.25,9,0,0,,
Davy Jones,0,59.78,44,0,0,,
Pop Smoke Featuring A Boogie wit da Hoodie,0,89.82,52,0,0,,
Brooks & Dunn With Sheryl Crow & Vince Gill,0,76.0,77,0,0,,
"The ""5"" Royales",0,84.0,9,0,0,,
Ludacris Featuring Mary J. Blige,1,26.35,209,0,0,,
Bow Wow Featuring J-Kwon & Jermaine Dupri,1,48.15,209,0,0,,
Jessie Hill,0,56.88,135,0,0,,
Cornelius Brothers & Sister Rose,2,34.74,385,0,0,,
Lucas Grabeel & Ashley Tisdale,0,66.2,7,0,0,,
Bertie Higgins,1,44.67,488,0,0,,
The Nu Tornados,1,47.42,77,0,0,,
Kanye West Featuring Ant Clemons,0,51.0,1,0,0,,
Gorilla Zoe,2,73.6,318,0,0,,
Lil Wayne Featuring Detail,1,55.82,252,0,0,,
The Unifics,1,55.29,100,0,0,,
Randy Meisner,2,46.4,319,0,0,,
Tommy Sands And The Raiders,1,80.8,107,0,0,,
Jason Aldean With Kelly Clarkson,1,50.06,437,0,0,,
Jason Derulo Featuring Adam Levine,0,79.4,14,0,0,,
The Browns Featuring Jim Edward Brown,1,53.75,175,0,0,,
Heavy D & The Boyz,4,48.33,998,0,0,,
Noah Kahan With Kacey Musgraves,1,83.5,1,0,0,,
Citizen King,0,41.85,209,0,0,,
Sweeney Todd,0,90.0,2,0,0,,
Timbaland & Magoo,0,62.93,104,0,0,,
Bradley Cooper,0,93.0,1,0,0,,
Afrojack Featuring Wrabel,0,100.0,1,0,0,,
Alive & Kicking,0,25.71,104,0,0,,
Bro Smith,0,66.2,14,0,0,,
Link Wray And The Wraymen,4,64.19,125,0,0,,
Ava Max,3,36.51,1083,0,0,,
The Adventures Of Stevie V,1,64.2,209,0,0,,
Tupac With Eminem Featuring The Outlawz,0,84.6,14,0,0,,
Impact,0,96.0,2,0,0,,
Kenny Chesney Duet With George Strait,0,67.63,135,0,0,,
The Philarmonics,0,100.0,2,0,0,,
Busta Rhymes & Mariah Carey Featuring The Flipmode Squad,0,16.58,299,0,0,,
Yaz,0,81.63,35,0,0,,
Kyper,0,46.96,324,0,0,,
2Gether,0,90.0,5,0,0,,
Lidell Townsell & M.T.F.,0,86.63,35,0,0,,
The Contours,26,54.11,728,0,0,,
King Von Featuring Fivio Foreign,0,93.0,1,0,0,,
Alicia Keys Featuring Miguel,0,90.0,1,0,0,,
Mason Ramsey,0,78.5,2,0,0,,
David Rose and His Orchestra,0,24.35,152,0,0,,
Edwyn Collins,0,52.11,44,0,0,,
The Motors,0,84.6,14,0,0,,
Kevin Gates Featuring August Alsina,0,95.78,44,0,0,,
Engelbert,0,83.5,2,0,0,,
Secondhand Serenade,2,39.06,464,0,0,,
Keith Sweat (Featuring Kut Klose),1,72.19,135,0,0,,
Maroon 5 Featuring Rozzi Crane,0,83.0,1,0,0,,
Ruffneck Featuring Yavahn,0,88.43,27,0,0,,
G-Eazy Featuring Yo Gotti & YBN Nahmir,0,81.25,35,0,0,0.812,0.729
Ja Rule Featuring Lil' Mo & Vita,1,26.44,377,0,0,,
Lou Johnson,3,72.79,106,0,0,0.878,0.373
Bob Beckham,1,55.47,314,0,0,,
Orleans,4,44.56,521,0,0,,
Beverly Bremers,1,55.85,298,0,0,,
Debbie Campbell,0,90.4,14,0,0,,
Ol' Dirty Bastard Featuring Kelis,1,53.65,209,0,0,,
The Ray Conniff Singers,0,71.3,54,0,0,,
Shakira Featuring Nicky Jam,0,100.0,1,0,0,,
Naughty Boy Featuring Sam Smith,0,46.4,209,0,0,,
Taylor Swift Featuring Haim,0,65.5,2,0,0,,
Planet Soul,1,39.27,350,0,0,,
Sam Neely,5,58.43,213,0,0,,
Love,4,67.92,124,0,0,0.467,0.706
P. Diddy Featuring The Neptunes,0,78.67,44,0,0,,
Voices Of Theory,1,43.43,630,0,0,,
EST Gee,0,89.0,1,0,0,,
"Marques Houston Featuring Jermaine ""JD"" Dupri",1,85.33,44,0,0,,
Cam'Ron Featuring Mase,0,58.18,152,0,0,,
Flo Rida Featuring Wynter,0,28.61,170,0,0,,
Cardi B Featuring SZA,0,64.0,14,0,0,,
Empire Cast Featuring Estelle & Jussie Smollett,0,64.0,2,0,0,,
Scott English,8,87.86,11,0,0,,
Diana Ross & Lionel Richie,1,27.81,377,0,0,,
Kris Kross Featuring Supercat,0,48.16,189,0,0,,
Lil Durk Featuring Future,3,64.17,9,0,0,,
Lindsay Lohan,1,74.0,20,0,0,,
A R Rahman & The Pussycat Dolls Featuring Nicole Scherzinger,0,58.0,90,0,0,,
The Fantastics,0,88.25,9,0,0,0.893,0.475
Surf Mesa Featuring Emilee,0,61.39,405,0,0,,
Tainy & Bad Bunny,0,83.33,5,0,0,,
Nav Featuring Travis Scott,0,86.0,1,0,0,,
The Electric Express,0,85.25,9,0,0,,
Nicki Minaj| Drake & Lil Wayne,0,56.75,9,0,0,,
Shania Twain With Billy Currington Or Mark McGrath,1,68.14,104,0,0,,
DaBaby Featuring A Boogie wit da Hoodie & London On Da Track,0,71.0,1,0,0,,
Robbie Nevil,5,49.0,827,0,0,,
Gene Cotton,8,62.69,277,0,0,,
The Beatles With Tony Sheridan,0,50.0,20,0,0,,
Victorious Cast Featuring Victoria Justice,1,78.29,36,0,0,,
The New Seekers featuring Eve Graham,1,55.29,118,0,0,,
Pure Sugar,0,78.08,77,0,0,,
Lorne Greene,1,28.33,82,0,0,,
Lil Xan,1,72.68,202,0,0,,
The Forum,0,57.13,35,0,0,,
Cynthia Erivo Featuring Ariana Grande,1,64.0,54,0,0,,
Birdman & Lil Wayne,1,49.5,209,0,0,,
Van Mccoy,1,68.67,51,0,0,,
Who is Fancy,0,98.0,1,0,0,,
Michael Franti & Spearhead Featuring Cherine Anderson,0,38.5,209,0,0,,
Las Ketchup,0,69.22,44,0,0,,
Mouth & MacNeal,0,44.5,194,0,0,,
Guy Mitchell,1,42.28,277,0,0,,
Amazulu,0,94.25,9,0,0,,
Shakira Featuring El Cata or Dizzee Rascal,0,80.18,65,0,0,,
Art Of Noise With Max Headroom,0,57.42,77,0,0,,
A$AP Ferg,0,100.0,1,0,0,,
The S.O.S. Band,6,61.39,543,0,0,,
69 Boyz Featuring Quad City DJ's,0,96.67,5,0,0,,
Belle Epoque,0,95.25,9,0,0,,
Diplo Presents Thomas Wesley Featuring Morgan Wallen,1,69.1,207,0,0,,
Bama,0,90.8,14,0,0,,
Drake Featuring Lil Baby,1,34.9,439,0,0,,
Jagged Edge Featuring Da Brat & JD,0,77.67,44,0,0,,
DJ Khaled Featuring Don Toliver & Travis Scott,0,86.0,1,0,0,,
Scritti Politti Featuring Roger,0,70.64,65,0,0,,
Olivia Dean,0,51.08,40,0,0,,
Blackjack,0,74.67,20,0,0,,
Johnny Maestro with The Coeds,0,75.2,14,0,0,,
David Banner,0,28.65,209,0,0,,
Raeletts,0,96.5,2,0,0,,
Crabby Appleton,0,53.71,104,0,0,,
David Crosby/Graham Nash,1,74.11,25,0,0,,
Bonnie McKee,0,94.17,20,0,0,,
Drake Featuring Kanye West| Lil Wayne & Eminem,1,20.38,299,0,0,,
BossMan Dlow,1,71.57,286,0,0,,
Faith Band,1,76.0,53,0,0,,
4.0,0,65.75,209,0,0,,
J-Hope With J. Cole,0,60.0,1,0,0,,
Tommy Shane Steiner,0,57.7,209,0,0,,
Cardi B Featuring Cash Cobain,0,85.0,1,0,0,,
Red Marlow,0,84.0,1,0,0,,
DJ Khaled Featuring Travis Scott & Post Malone,0,52.0,1,0,0,,
Michael Jackson With Siedah Garrett,0,27.79,104,0,0,,
Ricky Nelson,5,34.82,1350,0,0,,
The Show Stoppers,0,91.6,14,0,0,,
Blake Shelton & Dia Frampton,0,57.0,1,0,0,,
Bill Medley & Jennifer Warnes,1,29.95,230,0,0,0.475,0.739
6ix9ine Featuring Nicki Minaj & Kanye West,0,69.0,9,0,0,,
Chris Young + Kane Brown,0,48.27,250,0,0,,
Bad Bunny & Luar La L,0,60.0,2,0,0,,
Crucial Conflict,0,50.9,209,0,0,,
The Mills Brothers,10,59.86,162,0,0,,
Ray Ellis And His Orchestra,0,87.4,14,0,0,,
Post Malone Featuring Gunna,0,46.0,1,0,0,,
Mark Wills,5,60.94,766,0,0,0.728,0.698
Loza Alexander,0,59.67,5,0,0,,
Clinton Kane,0,89.0,1,0,0,,
Young Hearts,0,94.67,5,0,0,,
NLE Choppa Featuring Polo G,0,89.0,1,0,0,,
The Greenwood County Singers,0,80.8,14,0,0,,
Robin Luke,0,21.29,152,0,0,,
Freddie Mercury,1,80.5,29,0,0,,
Robert Miles Featuring Maria Nayler,1,75.53,189,0,0,,
The Mad Lads,4,87.46,32,0,0,,
Jerry Keller,0,39.15,90,0,0,,
Charlie Kulis,0,66.63,35,0,0,,
Jamie Foxx Featuring T.I.,1,72.5,170,0,0,,
Louis Prima,1,43.43,104,0,0,,
Nicki Minaj & Fivio Foreign,0,58.0,1,0,0,,
Romeo's Daughter,0,82.57,27,0,0,,
Offset Featuring Travis Scott,0,74.0,2,0,0,,
Crosby| Stills & Nash,14,44.12,721,0,0,,
Joey Scarbury,10,43.41,403,0,0,,
Camp Lo,0,66.76,152,0,0,,
The Marias,1,54.77,880,0,0,,
Max McNown,0,75.05,162,0,0,,
Gabby Barrett Featuring Charlie Puth,1,22.92,1952,0,0,,
Truth Hurts Featuring Rakim,0,23.55,209,0,0,,
Nena,1,37.39,275,0,0,,
Bob & Doug McKenzie,0,44.29,104,0,0,,
Playboi Carti Featuring Kid Cudi,0,99.0,1,0,0,,
Total Featuring Missy Elliott,1,27.05,209,0,0,,
The Devotions,0,62.7,54,0,0,,
Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI,0,66.0,27,0,0,,
Spiral Starecase,0,44.36,146,0,0,,
Son by Four,0,49.5,350,0,0,,
Diana DeGarmo,0,57.8,14,0,0,,
Al Brown's Tunetoppers Featuring Cookie Brown,0,52.08,77,0,0,,
Cheech & Chong Featuring Alice Bowie,0,39.54,90,0,0,,
Soul For Real,0,22.63,674,0,0,,
B.M.U. (Black Men United),1,50.6,209,0,0,,
Siw Malmkvist-Umberto Marcato,0,70.0,14,0,0,,
Gladstone,0,61.18,65,0,0,,
Funkadelic,10,74.88,181,0,0,0.497,0.689
Ernie Maresca,0,33.86,104,0,0,,
Frankie Lymon,0,70.75,9,0,0,,
Robin Thicke Featuring Kendrick Lamar,0,47.33,77,0,0,,
Gera MX + Christian Nodal,0,81.25,5,0,0,,
Drake Featuring Bad Bunny,0,40.67,5,0,0,,
Dean & Marc,0,61.13,33,0,0,,
Lil Baby & EST Gee,0,68.0,1,0,0,,
Pitbull Featuring Enrique Iglesias,0,78.38,25,0,0,,
Pharrell Featuring Gwen Stefani,0,72.75,35,0,0,,
Sugar Ray,2,29.6,1483,0,0,,
Flyleaf,0,60.45,207,0,0,,
J. Dash,0,79.07,115,0,0,,
Gene Chandler & Barbara Acklin,0,66.38,35,0,0,,
The Rationals,0,94.0,5,0,0,,
David Guetta Featuring Justin Bieber,0,37.91,65,0,0,0.438,0.399
Funky Green Dogs,0,90.0,104,0,0,,
Toby Beau,2,50.5,205,0,0,,
Corey Featuring Lil' Romeo,0,81.62,90,0,0,,
Jennifer Lopez Featuring Fat Joe,0,72.25,35,0,0,,
The Packers,1,63.91,65,0,0,,
Norman Greenbaum,1,42.63,159,0,0,,
Fire Inc.,0,86.8,14,0,0,,
Ironhorse,1,71.44,74,0,0,,
Snoop Dogg Featuring Tyrese & Mr. Tan,0,92.25,9,0,0,,
Horace Brown,0,79.0,77,0,0,,
Rise Against,0,89.0,1,0,0,,
Voices Of America,0,79.25,35,0,0,,
Travis Scott Featuring Yung Lean & Dave Chappelle,0,53.0,1,0,0,,
Cannonball Adderley,7,61.85,111,0,0,,
Stephen Sanchez,1,55.2,855,0,0,,
The Megatrons,0,67.56,44,0,0,,
Trippie Redd Featuring DaBaby,1,76.0,27,0,0,,
P!nk Featuring William Orbit,0,67.6,14,0,0,,
Dobie Gray,16,56.84,462,0,0,0.706,0.641
The Premiers,0,36.67,44,0,0,,
Duke & The Drivers,0,98.0,6,0,0,,
Mike Will Made-It Featuring Miley Cyrus| Wiz Khalifa & Juicy J,1,25.3,273,0,0,0.717,0.511
Debbie Reynolds,0,50.67,159,0,0,,
Pilar Montenegro,0,89.0,90,0,0,,
Fred Hughes,0,55.08,59,0,0,,
Los Del Mar,0,84.13,119,0,0,,
Javier Colon,0,65.5,4,0,0,,
Blue Magic,0,48.44,294,0,0,,
Soko,0,9.0,1,0,0,,
BabyChiefDoit,0,80.0,2,0,0,,
Sugababes,0,97.0,2,0,0,,
Diane Kolby,0,76.5,20,0,0,,
Lauren Wood,0,52.27,119,0,0,,
Casey Kelly,0,66.89,44,0,0,,
Lil Uzi Vert Featuring Young Thug & Gunna,0,60.0,1,0,0,,
The Kingpins,0,43.83,20,0,0,,
Five Finger Death Punch,0,77.0,1,0,0,,
69 Boyz,4,44.7,1084,0,0,,
Chris Brown Feat. Ludacris,0,83.5,54,0,0,,
Marmalade,0,63.22,44,0,0,,
Fifth Harmony,3,77.59,297,0,0,,
Brady Seals,0,93.0,9,0,0,,
The Ribbons,0,87.25,9,0,0,,
Diana Ross & Michael Jackson,0,57.11,44,0,0,,
Gravity Kills,0,92.45,209,0,0,,
Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,1,23.94,527,0,0,,
Chris Jamison & Adam Levine,0,63.0,1,0,0,,
The-Dream Featuring Mariah Carey,0,92.0,6,0,0,,
Rod Wave & Kevin Gates,0,95.33,5,0,0,,
Mick Jackson,0,75.8,14,0,0,,
Creedence Clearwater Revival Featuring John Fogerty,0,66.75,35,0,0,,
Nelly Featuring Jeremih,1,72.65,207,0,0,,
Zay Hilfigerrr & Zayion McCall,1,20.86,228,0,0,,
Patti Smith Group,1,49.05,175,0,0,,
Millions Like Us,0,77.5,20,0,0,,
B.C.G. (B.C. Generation),0,69.0,20,0,0,,
Jonell & Method Man,1,85.12,152,0,0,,
Kris Jensen,0,48.21,104,0,0,,
R. Kelly Featuring Keri Hilson,0,78.36,65,0,0,,
¥$: Kanye West & Ty Dolla $ign Featuring Future,0,76.0,1,0,0,,
Keith Sweat (Featuring Ronald Isley),0,78.91,65,0,0,,
Evelyn Thomas,0,91.0,14,0,0,,
Da Brat Featuring Cherish,0,71.06,135,0,0,,
Pat Travers Band,0,67.86,27,0,0,,
Jack & Jack,0,87.0,1,0,0,,
Mike Reilly,0,93.83,20,0,0,,
London Symphony Orchestra,0,44.06,152,0,0,,
The Boomtown Rats,0,82.2,14,0,0,,
Gucci Mane & Lil Baby,0,100.0,1,0,0,,
Chris Brown Featuring Jay Biz,1,59.4,209,0,0,,
Jack Wagner,3,58.06,411,0,0,,
Aaron Lines,1,61.53,152,0,0,,
Alicia Keys Featuring Tony! Toni! Tone!,0,22.61,405,0,0,,
The Tremeloes,1,42.4,262,0,0,,
21 Savage| Lil Durk & Metro Boomin,0,55.5,2,0,0,,
Drake Featuring Lil Wayne & Rick Ross,0,54.0,2,0,0,,
RuPaul,3,72.36,223,0,0,,
Sly Fox,1,46.48,326,0,0,,
Paul Simon/Phoebe Snow,0,39.0,54,0,0,,
Travis Scott Featuring Young Thug,0,63.0,2,0,0,,
The Wonder Who?,2,59.05,79,0,0,,
Cherish Featuring Yung Joc,0,57.33,119,0,0,,
Emilia,1,93.5,1,0,0,,
Swedish House Mafia & The Weeknd,1,77.63,20,0,0,,
Gang Starr,4,80.71,155,0,0,,
Ivan Neville,1,61.45,194,0,0,,
Jim Weatherly,1,54.71,149,0,0,,
Harold Betters,0,81.63,35,0,0,,
PnB Rock,1,80.26,189,0,0,,
Rod Wave & Be Charlotte,0,87.0,1,0,0,,
Sugarland Featuring Taylor Swift,0,83.5,1,0,0,,
Bruce Foster,0,71.8,14,0,0,,
OutKast Featuring Sleepy Brown,1,15.49,779,0,0,,
Clay Aiken,1,58.57,379,0,0,,
Brad Paisley Featuring LL Cool J,0,77.0,1,0,0,,
The Poppy Family (Featuring Susan Jacks),0,38.47,242,0,0,,
Tru Featuring Ice Cream Man (Master P),0,79.4,119,0,0,,
Mike Reno And Ann Wilson,0,38.5,209,0,0,,
Bull & The Matadors,0,68.14,104,0,0,,
Supertramp Featuring Roger Hodgson,1,25.54,90,0,0,,
